"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий
Ленинградская область,Всеволожский район,"д.Екатериновка  пилорамма,  автозаправка д. Екатериновка,  ИП Шевцов,  СНТ «Новая Екатериновка»,  СНТ «Грузино-парк»,  СНТ «Долина»,  Индустриальный парк «Екатерининский»,  ООО «Конструктив»",,2023-09-21 10:00:00,2023-09-21 17:00:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,2023-09-21 10:00:00,2023-09-21 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 час
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,2023-09-21 10:00:00,2023-09-21 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 час
Санкт-Петербург,Всеволожский район,Ржевка,,2023-09-21 10:00:00,2023-09-21 17:00:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Всеволожский район,"Приютино,  Ковалево",,2023-09-21 10:00:00,2023-09-21 17:00:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",2023-09-21 10:00:00,2023-09-21 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Тосненский район,д. Сидорово,д.21а,2023-09-21 10:00:00,2023-09-21 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Тосненский район,д. Сидорово,д.21а,2023-09-21 10:00:00,2023-09-21 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,2023-09-21 10:00:00,2023-09-21 20:00:00,Южные электрические сети,Красносельский РЭС,
Ленинградская область,Ломоносовский район,д.Разбегаево,,2023-09-21 10:00:00,2023-09-21 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-492
